time,logger,level,message,exception
2012-03-30 14:57:32.4398,Raven.Database.Impl.DocumentCacher,Info,"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3158310912
  PollingInterval     = 00:02:00",
2012-03-30 14:57:32.4818,Raven.Storage.Esent.TransactionalStorage,Info,"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 262144
  DatabasePageSize = 4096",
2012-03-30 14:57:33.5408,Raven.Database.Storage.IndexDefinitionStorage,Info,"New index Raven%2fDocumentsByEntityName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
",
2012-03-30 14:57:33.5538,Raven.Database.Indexing.IndexStorage.Startup,Debug,Loading saved index Raven/DocumentsByEntityName,
2012-03-30 14:57:33.5808,Raven.Database.Indexing.Index.Indexing,Debug,Creating index for Raven/DocumentsByEntityName,
2012-03-30 14:57:33.7088,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Backup/Status' was not found,
2012-03-30 14:57:33.7958,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work",
2012-03-30 14:57:33.7958,Raven.Database.Indexing.WorkContext,Debug,"No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work",
2012-03-30 14:57:35.5678,Raven.Database.Server.HttpServer,Debug,Request #   1: GET     -    30 ms - <default>  - 200 - /docs?pageSize=0&noCache=90956662,
2012-03-30 14:57:35.6898,Raven.Database.Server.HttpServer,Debug,Request #   2: GET     -     0 ms - <default>  - 200 - /docs?pageSize=0&noCache=194133971,
2012-03-30 14:57:35.8308,Raven.Database.Server.HttpServer,Debug,Request #   3: GET     -    89 ms - <default>  - 200 - /build/version?noCache=-791753849,
2012-03-30 14:57:35.8308,Raven.Database.Server.HttpServer,Debug,Request #   4: GET     -    89 ms - <default>  - 200 - /license/status?noCache=362200613,
2012-03-30 14:57:35.8308,Raven.Database.Server.HttpServer,Debug,Request #   5: GET     -    60 ms - <default>  - 200 - /databases/?pageSize=1024&noCache=1826179327,
2012-03-30 14:57:35.8308,Raven.Database.Server.HttpServer,Debug,Request #   6: GET     -    57 ms - <default>  - 200 - /docs/?start=0&pageSize=15&noCache=-1783141378,
2012-03-30 14:57:35.8308,Raven.Database.Server.HttpServer,Debug,Request #   7: GET     -    57 ms - <default>  - 200 - /docs/?start=0&pageSize=15&noCache=-398392010,
2012-03-30 14:57:35.8668,Raven.Database.Server.HttpServer,Debug,Request #   8: GET     -    93 ms - <default>  - 200 - /stats?noCache=-53836040,
2012-03-30 14:57:35.9178,Raven.Database.Server.HttpServer,Debug,Request #   9: GET     -     0 ms - <default>  - 200 - /docs?pageSize=0&noCache=604892187,
2012-03-30 14:57:35.9848,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,Document with key 'Raven/Databases/MyBlog' was found,
2012-03-30 14:57:36.0068,Raven.Database.Util.PortUtil,Info,"Default port 8080 was not available, so using available port 8081",
2012-03-30 14:57:36.0268,Raven.Database.Impl.DocumentCacher,Info,"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3158310912
  PollingInterval     = 00:02:00",
